Fractal Dimension,Relative Energy,RMS Displacement,Maximum Displacement,RMS Force,Maximum Force
1.77992743046466,0,0,0,0,0
1.77995817346388,-6.98165192351526e-05,0.00229210137366601,0.00250732580593414,0.299679238205539,0.327818610506488
1.78001194004322,-0.000189483286116293,0.00399989302441901,0.0043823203280733,0.296931798992007,0.325700930523717
1.78008278441138,-0.000342526020406684,0.00525203486079067,0.0057686073916936,0.292277164857978,0.322062861497802
1.78016613213228,-0.00051610672644024,0.00615095240810418,0.00677826063366756,0.286447537606367,0.317404095215449
1.78025847014952,-0.000700740611693171,0.00677843125045674,0.00749889244249406,0.28004309483093,0.312129629697908
1.78035710771949,-0.000889802990220943,0.00719980830276478,0.00799905961878471,0.273527336477994,0.306557668698561
1.78045999179624,-0.00107896598592583,0.00746714132893633,0.00833239952424971,0.267233876825134,0.300929946883287
1.780565564226,-0.00126565051875876,0.00762164594485046,0.00854081267177388,0.261380773072964,0.295423090205013
1.78067265105747,-0.00144854100452499,0.00769561624731609,0.00865693036964887,0.256089702278422,0.290160083965369
1.78078037654721,-0.00162718404001369,0.00771398619504103,0.00870604537457067,0.251407508263207,0.285221149981912
1.7808880961875,-0.00180167509966139,0.00769564046095541,0.00870763654284277,0.247327714717481,0.280653517942383
1.78099534442379,-0.00197242673835407,0.00765454396521618,0.00867658281073162,0.243809936257064,0.276479770017319
1.78110179375229,-0.00214000623412065,0.00760072848872035,0.00862413548627432,0.240795768395755,0.272704636386257
1.78120722266693,-0.00230502857468022,0.00754115315940269,0.00855869901824422,0.238220539523648,0.269320295194128
1.78131149051617,-0.00246809099771385,0.00748044331553075,0.0084864574626178,0.236021043341564,0.266310358317389
1.78141451777776,-0.00262973696957141,0.00742150822579948,0.00841187524089153,0.234139881634436,0.263652792463875
1.78151627059862,-0.00279043978944013,0.00736604007414625,0.00833809509125401,0.232527286550475,0.261322037218296
1.78161674870381,-0.00295059841099271,0.00731490153852048,0.00826725221784694,0.23114129997877,0.259290552342764
1.78171597597383,-0.00311054025153348,0.00726841447789442,0.0082007207172374,0.229947048975709,0.257529974952851
1.78181399313896,-0.00327052754126371,0.00722656585797684,0.00813930589275353,0.228915655206468,0.256012010560178
1.78191085215399,-0.00343076510487159,0.00718914836212458,0.0080833938118832,0.228023116027654,0.254709132736634
1.78200661190603,-0.00359140839535288,0.00715585231417411,0.00803306736062739,0.227249330852526,0.253595130522538
1.78210133497778,-0.00375257118962088,0.00712632324688602,0.00798819614055135,0.226577331605507,0.25264552162889
1.78219508524383,-0.00391433269470499,0.00710019646609122,0.00794850590346666,0.225992708050574,0.25183784049113
1.78228792612136,-0.00407674398505319,0.00707711694058037,0.00791363186952685,0.225483187525552,0.251151809319734
1.78237991933196,-0.00423983376332856,0.00705675021406494,0.00788315923284546,0.225038321902432,0.250569403447457
1.78247112405945,-0.00440361345804468,0.00703878798134189,0.00785665339481668,0.224649241376904,0.250074826352085
1.78256159641165,-0.00456808167272162,0.0070229505157057,0.00783368192603132,0.224308446671937,0.249654412781824
1.7826513891127,-0.00473322799996082,0.0070089871947943,0.00781382988236739,0.224009623174162,0.249296479575383
1.78274055136741,-0.00489903621695488,0.00699667582020485,0.00779670983342637,0.223747469780016,0.248991143009424
1.78282912885165,-0.00506548688730038,0.00698582113424784,0.00778196775799552,0.223517541059218,0.248730119253671
1.78291716379246,-0.00523255940567234,0.00697625279875997,0.00776928579167303,0.223316104111836,0.248506521381203
1.78300469510979,-0.00540023353396595,0.00696782303970132,0.00775838265954575,0.223140012064155,0.248314662959354
1.78309175859813,-0.00556849048759685,0.00696040413019014,0.0077490124847263,0.222986595454313,0.248149874994845
1.78317838713157,-0.00573731363716003,0.00695388585910294,0.00774096253063045,0.222853571576183,0.248008340216415
1.78326461087986,-0.00590668889311766,0.00694817310346789,0.00773405031339859,0.222738970703008,0.247886946482606
1.78335045752653,-0.00607660483978692,0.00694318359013761,0.00772812041331321,0.222641077278615,0.247783159513315
1.78343595248253,-0.0062470526803954,0.0069388458989874,0.0077230412223898,0.222558383728743,0.247694914094818
1.78352111909096,-0.00641802604827656,0.00693509773002275,0.00771870179051663,0.222489554469863,0.247620522293438
1.78360597882012,-0.00658952073134005,0.00693188443283716,0.00771500887359682,0.222433397879086,0.247558596918386
1.78369055144299,-0.0067615343486106,0.00692915778030794,0.00771188424294778,0.222388844323856,0.247507988395144
1.78377485520261,-0.00693406600947055,0.00692687495855055,0.00770926228306395,0.222354928736929,0.247467733263282
1.78385890696297,-0.00710711597871258,0.00692499774131736,0.00770708788294866,0.222330776591596,0.247437012635414
1.78394272234581,-0.00728068536388073,0.00692349181725108,0.00770531461169065,0.222315592444756,0.247415119107025
1.78402631585397,-0.00745477583572223,0.00692232624126712,0.00770390316015745,0.222308650456825,0.247401430766418
1.78410970098202,-0.00762938938791704,0.00692147298549907,0.00770282002578203,0.222309286469982,0.247395391108138
1.78419289031523,-0.00780452813858362,0.00692090656963247,0.0077020364151718,0.222316891341938,0.24739649379733
1.78427589561764,-0.00798019417321151,0.00692060375454697,0.00770152733886939,0.222330905306389,0.247404271365776
1.78435872791045,-0.00815638942664114,0.00692054328667503,0.00770127087317922,0.222350813178071,0.247418287043472
1.78444139754158,-0.00833311560029436,0.00692070568316739,0.00770124756536533,0.222376140251321,0.247438129043546
1.78452391424723,-0.00851037411002134,0.00692107305014729,0.0077014399602244,0.222406448763975,0.247463406723477
1.7846062872065,-0.0086881660595338,0.00692162892784699,0.00770183222812967,0.222441334818021,0.247493748142041
